config,checkpoint,dataset,dataset_split,corruption,severity,summary,top1,top5,head0_top1,head0_top5
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,clean,0,clean,78.11,93.34,78.11,93.34
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,gaussian_noise,1,severity,30.65,55.3,30.65,55.3
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,gaussian_noise,2,severity,16.7,36.39,16.7,36.39
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,gaussian_noise,3,severity,8.96,21.89,8.96,21.89
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,gaussian_noise,4,severity,4.66,13.72,4.66,13.72
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,gaussian_noise,5,severity,2.34,9.09,2.34,9.09
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,shot_noise,1,severity,30.49,54.9,30.49,54.9
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,shot_noise,2,severity,15.77,34.24,15.77,34.24
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,shot_noise,3,severity,8.73,21.51,8.73,21.51
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,shot_noise,4,severity,4.56,12.76,4.56,12.76
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,shot_noise,5,severity,2.7,9.6,2.7,9.6
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,impulse_noise,1,severity,59.61,83.63,59.61,83.63
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,impulse_noise,2,severity,37.66,64.17,37.66,64.17
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,impulse_noise,3,severity,21.15,44.14,21.15,44.14
configs/classification/cifar100/mixups/vits/convnext_tiny/convnext_t_vanilla_bs100_ep200.py,experiments/cifar100/convnext_tiny/none/vanilla_redo/seed_25/best_head0_top1_epoch_193.pth,CIFAR100,test,impulse_noise,4,severity,6.52,18.6,6.52,18.6
